created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Feb 27 10:18:33 +0000 2023;1630150385351507970;"@seokjinbit seokjin telling coldplay 🤝🏼 hobi telling becky";0;0;24;781;in;1321115863471267840;1629989794142101504;tanalaxy7;https://twitter.com/tanalaxy7/status/1630150385351507970
Sun Feb 26 03:43:41 +0000 2023;1629688628560662528;"Mengapa Coldplay belum pernah mengadakan konser di Indonesia?";39;289;65;1084;in;1222927522033094656;1629688628560662528;idextratime;https://twitter.com/idextratime/status/1629688628560662528
Sun Feb 05 08:32:52 +0000 2023;1622151258323943425;"Seokjin hugging Coldplay https://t.co/Smi1wvcnjo";15;6;496;2421;in;1270359061175783424;1622151258323943425;winnttaebear;https://twitter.com/winnttaebear/status/1622151258323943425
Mon Jan 30 13:55:17 +0000 2023;1620058067621793792;"Ada lagi ke yang masih kenal Radiohead, Nirvana, Sod, Metallica, MCR, Evenescene, Slipknot, Green day, Hoobastank, Lp, A7x, Simple plan, The Strokes, Coldplay, Greenday, Artic Monkeys dengan Paramore. Bukan apa. Band band ni la dulu yang melalaikan kami 😭😭😭🫶🏻";140;39;603;1285;in;328045907;1620058067621793792;brgsjks;https://twitter.com/brgsjks/status/1620058067621793792
Wed Jan 11 07:05:05 +0000 2023;1613069468653215745;"💚 ini seriusan coldplay, bruno mars, sama taylor swift bakal ke indo ?? https://t.co/1mQuYhkcXU";1857;1309;250;4337;in;1331650559518990336;1613069468653215745;tanyakanrl;https://twitter.com/tanyakanrl/status/1613069468653215745
Sun Dec 11 15:40:08 +0000 2022;1601965060514926592;"@tanyarlfes not sender tapi ini videonya, dia nyanyi Yellow nya Coldplay https://t.co/fo9qA2gWKf";96;51;391;4770;in;1467854966547042307;1601953707058688001;comfortrouble_;https://twitter.com/comfortrouble_/status/1601965060514926592
Sun Nov 20 16:15:25 +0000 2022;1594363796658991110;"@starfess Debut solo stage member BTS ngeri ngeri yaaa.  Dari j-hope di lollapalooza. Jin di konser Coldplay. Sekarang si bontot di FIFA.  Kalo gue jadi idol solo di korea sih harusnya minder wkwk";7;5;74;454;in;1088783231422423040;1594346581137838080;sigmarez;https://twitter.com/sigmarez/status/1594363796658991110
Wed Nov 16 07:33:52 +0000 2022;1592782993613295616;"Jadi untuk kategori AOTY di Grammy ini kalau menang maka yg akan mendapatkan award itu artisnya, featured artist, songwriter, dll. Kalau nanti Music Of The Spheres nya Coldplay hyungnim menang maka bangtan dan rapline akan dapat award juga. https://t.co/QB4CvmHFYk";3;12;338;1355;in;1410284423166107648;1592782993613295616;7btsupdates;https://twitter.com/7btsupdates/status/1592782993613295616
Tue Nov 15 18:07:39 +0000 2022;1592580100771676161;""Music of the Spheres" by @coldplay masuk dalam nominasi Album of the Year pada 2023 #GRAMMYs dan @BTS_twt , Kim Namjoon, Jung Hoseok, Min Yoon Gi, di creditkan sebagai featuring artist. https://t.co/sW8Y82G8c1";4;8;343;783;in;1410284423166107648;1592580100771676161;7btsupdates;https://twitter.com/7btsupdates/status/1592580100771676161
Sun Nov 13 03:34:10 +0000 2022;1591635507733475330;"omg so proud, jadi foto bangtan, album persona yang di tanda tangan + armybomb di pajang di museum wembley🥺 ada tanda tangan dari Coldplay, Ed Sheeran, sama Spice Girl https://t.co/AcE3TGZVOu";5;6;275;1391;in;1257949179990560769;1591635507733475330;rockstarstae;https://twitter.com/rockstarstae/status/1591635507733475330
Sat Nov 12 13:20:15 +0000 2022;1591420612647747584;"seokjin playing coldplay’s viva la vida for chef baek 🥺 https://t.co/ytSgnuHOlT";187;11;1272;4992;in;717145958639878145;1591420612647747584;seokjinfile;https://twitter.com/seokjinfile/status/1591420612647747584
Sun Nov 06 08:19:02 +0000 2022;1589170480661299200;"“aku tau coldplay, coldplay tau aku” 😂 https://t.co/JAGVxZvFnd";7;8;80;774;in;1956207277;1589170480661299200;vkookssky;https://twitter.com/vkookssky/status/1589170480661299200
Sat Nov 05 13:49:37 +0000 2022;1588891285888196608;"GUYS BAYANGIN COLDPLAY CONCERT IN JAKARTA!! 🥹 -hi https://t.co/EI7dzDT7VM";57;60;59;805;in;1210342758029807616;1588891285888196608;starfess;https://twitter.com/starfess/status/1588891285888196608
Wed Nov 02 17:10:03 +0000 2022;1587854562240892928;"Ditahun ini, udh berapa kali gw liat exol nuduh plagiat, mulai dari konsep RM yg emng menggambarkan diri RM sendiri dan itu udh pernah dipake Bts.Konsep jin yg nyatanya itu ada kaitannya sama coldplay,Lipstik merah V yg nyatanya berkaitan dgn kampanye cyberbullying(klw gk salah)-";214;149;867;3461;in;1411165593391091714;1587854562240892928;iloveyo_3000;https://twitter.com/iloveyo_3000/status/1587854562240892928
Mon Oct 31 15:06:24 +0000 2022;1587098670566367232;"anyway agak-agak lagu apa yang no 1 spotify wrap korang tahun ni. mine probably coldplay lagi sekali 🫡";536;85;199;1691;in;1092295577478414336;1587098670566367232;khairulaming;https://twitter.com/khairulaming/status/1587098670566367232
